family,size_id,L,point_index,is_frozen_anchor,observer_id,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_element_type,nearest_alpha_deg,nearest_theta_deg,n_candidates_d_lt_1,exclusion_witness_exists,geometric_status,observational_status,prior_weight,shape
E2,L1.00,1.0,0,True,0,"[0.2452274712376159, 0.3429926323318836]","[0.245227, 0.342993, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,1,True,1,"[0.07150075549277313, 0.24162711619922894]","[0.071501, 0.241627, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,2,True,2,"[0.8951290935216393, 0.2514647338918028]","[0.895129, 0.251465, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,3,False,3,"[0.46640000000000004, 0.9629000000000001]","[0.4664, 0.9629, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,4,False,4,"[0.4198, 0.6301]","[0.4198, 0.6301, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,5,False,5,"[0.1986, 0.0026000000000000003]","[0.1986, 0.0026, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,6,False,6,"[0.05, 0.5025000000000001]","[0.05, 0.5025, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,7,False,7,"[0.3522, 0.155]","[0.3522, 0.155, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,8,False,8,"[0.30960000000000004, 0.8153]","[0.3096, 0.8153, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
E2,L1.00,1.0,9,False,9,"[0.0007, 0.9500000000000001]","[0.0007, 0.95, 0.74]",1.0,1.0,inf,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}"
