map,Splus,Sminus,A,rho,Splus_over_null_med,Sminus_over_null_med,Sminus_percentile,Sminus_p_twosided,k_Splus,p_Splus,k_A,p_A,k_rho,p_rho_frozen_axis_conditional,rho_interp_onT,rho_exact_premondip
PR3_Commander,39.67178834527284,259.3375006282747,-219.66571228300188,-0.7346451109832747,0.10137521878263538,0.9279132818807536,45.9,0.918,0,<= 1.0e-03,129,0.129,3,0.003,-0.7320079248982373,-0.7052743187997076
PR3_NILC,43.62813348623849,275.0445593950697,-231.41642590883123,-0.7261884406111441,0.11148505680542269,0.9841133625234741,49.1,0.982,0,<= 1.0e-03,126,0.126,5,0.005,-0.7237474213885687,-0.7193945471722063
PR3_SEVEM,35.53177282197311,280.7554147817334,-245.2236419597603,-0.7753195563110017,0.0907960390444972,1.004546884676451,50.2,0.996,0,<= 1.0e-03,119,0.119,0,<= 1.0e-03,-0.775225112516663,-0.7437740639965278
PR3_SMICA,43.52361814595497,269.68120116927315,-226.15758302331818,-0.7220756804374061,0.11121798375605142,0.9649231901760723,47.9,0.958,0,<= 1.0e-03,127,0.127,5,0.005,-0.7194120349688149,-0.7035085278840999
Nofi_70GHz,42.49647113501039,267.32212559452563,-224.82565445951525,-0.7256686875248567,0.10859326585701967,0.9564823840702621,47.6,0.952,0,<= 1.0e-03,127,0.127,5,0.005,-0.7204336472224998,-0.7190642515228254
Nofi_94GHz,39.92750307311062,271.4035441792838,-231.4760411061732,-0.7435045208276859,0.10202865886088147,0.9710857580695377,48.3,0.966,0,<= 1.0e-03,126,0.126,3,0.003,-0.7378021434677021,-0.742177774009445
Nofi_100GHz,39.99037915163358,270.4403573266397,-230.4499781750061,-0.7423555437498859,0.10218932911252186,0.9676394617516655,48.1,0.962,0,<= 1.0e-03,126,0.126,3,0.003,-0.7371503036985613,-0.7404684060151603
Nofi_143GHz,38.454711642027405,270.4247108427909,-231.96999920076348,-0.7510050275756555,0.09826516445402944,0.9675834784089447,48.1,0.962,0,<= 1.0e-03,125,0.125,2,0.002,-0.7462418336358179,-0.7513509754124069
PR4_Sevem,35.146200437126296,282.90506737198035,-247.75886693485404,-0.7789903453035695,0.08981076748249449,1.0122383723521136,50.7,0.986,0,<= 1.0e-03,116,0.116,0,<= 1.0e-03,-0.7791264071833736,-0.751257874060639
PR4_Commander,39.94272433049464,259.43296978493134,-219.49024545443672,-0.7331598715886769,0.102067554468108,0.9282548718870467,46.0,0.92,0,<= 1.0e-03,129,0.129,4,0.004,-0.7322675420302424,-0.7152527810244497
