case,topology,gen,not_lattice_degenerate,rel_H1,off_H1,white_H1,rel_H2,off_H2,white_H2,rel_H1_vs_H2,base_tag,H1_tag,H2_tag,empirically_discriminating,match_over_separation_H1,H1_match,H2_match
E7_b1_A,E7,glide_A,True,7.993811445251606e-08,2.717055802616014e-07,8.552308075329234e-08,0.19988503414803183,0.5660072457438998,0.21103831944521234,0.20501719770812044,E7_99337bfd75deea5fe,E7_c85280fc4644c8adc,E7_6f833195ed37f0211,True,3.899093117364848e-07,True,False
E7_b2_A,E7,glide_A,True,7.784840957252648e-08,2.6161832379620476e-07,8.243765255968231e-08,0.20647779737972272,0.627364834570575,0.23371533859951804,0.20260573269124654,E7_ebc72653fa1a10e7a,E7_56209f1cb9fbd2c77,E7_d460f0f4bfc9d6478,True,3.8423596676388553e-07,True,False
E7tilt_b1_A,E7,glide_A,True,8.070586781532023e-08,2.6966701792271707e-07,9.031669849741628e-08,8.070586778109906e-08,2.6966701781659867e-07,9.031669849012453e-08,5.299637919482182e-16,E7_3e64bd86d526a64f8,E7_2856651f77873671d,E7_061a13f7103fc11cf,False,152285626.00217387,True,True
E8_b1_A,E8,glide_A,True,7.551315684849195e-08,3.133352143703111e-07,9.211008989237454e-08,0.2046062306424157,0.7321394415575312,0.25482566630942516,0.21067892649787065,E8_5e0bdc160d8c45bcc,E8_cf2c36cfdaa9bac41,E8_106869491e0316644,True,3.58427670501991e-07,True,False
E8_b1_B,E8,glide_B,True,8.054421044992957e-08,3.342111295684778e-07,9.561077154189892e-08,0.22523178573082847,0.7683589699355116,0.28312229205233036,0.22171129668312087,E8_5e0bdc160d8c45bcc,E8_89ea0f94528e34034,E8_4df8405fdd22d263e,True,3.6328419730929073e-07,True,False
E2_b1_B,E2,halfturn_B,False,4.517569985381354e-08,2.760473737412329e-07,4.36869359188593e-08,4.517569986269486e-08,2.7604737379550247e-07,4.36869359189797e-08,5.52553353135292e-16,E2_594095bcb3445a264,E2_f0ee7aa14f597d6e6,E2_f6949e849eb9b047d,False,81758077.47338441,True,True
E7_b1_lat0,E7,E7_lattice_translation,,6.971291589852513e-16,1.7870696382170408e-15,6.997445830382811e-16,,,,,E7_99337bfd75deea5fe,E7_f0f8b04847413fd4c,,,,True,False
E7_b1_lat1,E7,E7_lattice_translation,,1.0461460163526615e-15,1.6123831412820816e-15,9.908023336840698e-16,,,,,E7_99337bfd75deea5fe,E7_a7ef2b28a728ce128,,,,True,False
E7_b1_lat2,E7,E7_lattice_translation,,4.326175267607009e-16,7.44926474921029e-16,4.364516730139597e-16,,,,,E7_99337bfd75deea5fe,E7_4cf4c49a832e546c7,,,,True,False
E7tilt_b1_lat0,E7,E7tilt_lattice_translation,,5.584844813401234e-16,1.2124580228080182e-15,6.231597965081904e-16,,,,,E7_3e64bd86d526a64f8,E7_7457069e9ebc74985,,,,True,False
E7tilt_b1_lat1,E7,E7tilt_lattice_translation,,4.16219832076546e-16,1.0087273261527244e-15,5.308400306280845e-16,,,,,E7_3e64bd86d526a64f8,E7_9f9811febe8834a68,,,,True,False
E7tilt_b1_lat2,E7,E7tilt_lattice_translation,,4.54436860271008e-16,8.317638230273214e-16,5.366275231326555e-16,,,,,E7_3e64bd86d526a64f8,E7_1077794add34926fd,,,,True,False
E8_b1_lat0,E8,E8_lattice_translation,,5.985289484955291e-16,1.562038520895368e-15,7.969235256671921e-16,,,,,E8_5e0bdc160d8c45bcc,E8_74a6ec9157a81c3aa,,,,True,False
E8_b1_lat1,E8,E8_lattice_translation,,5.095245238212599e-16,1.3223899423023105e-15,5.880943357989939e-16,,,,,E8_5e0bdc160d8c45bcc,E8_68737c7f77540a81d,,,,True,False
E8_b1_lat2,E8,E8_lattice_translation,,4.120537439520204e-16,9.969199041318225e-16,5.384667613711293e-16,,,,,E8_5e0bdc160d8c45bcc,E8_13e102c134ff23e09,,,,True,False
E2_b1_lat0,E2,E2_lattice_translation,,4.092616395917885e-16,1.2968314186294255e-15,5.272102617394903e-16,,,,,E2_594095bcb3445a264,E2_084bd5cf73c9b4f1d,,,,True,False
E2_b1_lat1,E2,E2_lattice_translation,,4.3481710206931696e-16,1.4388524815116561e-15,5.389205559213748e-16,,,,,E2_594095bcb3445a264,E2_80c917e28585326e2,,,,True,False
E2_b1_lat2,E2,E2_lattice_translation,,2.48784783513662e-16,6.451671160473475e-16,2.0738173241791867e-16,,,,,E2_594095bcb3445a264,E2_db8dcb92c67867bf8,,,,True,False
