axis_a,axis_b,n_pixel_mismatch
544,2496,10
560,2512,17
576,2464,10
592,2480,17
672,2368,10
688,2384,17
704,2336,10
720,2352,17
736,2304,2
737,2305,2
738,2306,1
739,2307,2
740,2308,2
742,2310,2
743,2311,2
744,2312,2
745,2313,2
746,2314,1
747,2315,2
748,2316,1
749,2317,2
750,2318,1
752,2320,2
754,2322,1
755,2323,2
756,2324,1
757,2325,2
758,2326,2
759,2327,2
760,2328,2
761,2329,1
762,2330,2
763,2331,2
764,2332,1
765,2333,2
766,2334,1
767,2335,1
768,2272,2
769,2273,2
770,2274,1
771,2275,2
772,2276,2
774,2278,2
775,2279,2
776,2280,2
777,2281,2
778,2282,1
779,2283,2
780,2284,1
781,2285,2
782,2286,1
784,2288,2
786,2290,1
787,2291,2
788,2292,1
789,2293,2
790,2294,2
791,2295,2
792,2296,2
793,2297,1
794,2298,2
795,2299,2
796,2300,1
797,2301,2
798,2302,1
799,2303,1
800,2240,8
816,2256,15
832,2208,8
848,2224,15
928,2112,5
944,2128,11
960,2080,5
976,2096,11
993,2049,1
994,2050,1
996,2052,2
999,2055,2
1000,2056,2
1002,2058,2
1003,2059,1
1005,2061,2
1006,2062,1
1009,2065,2
1012,2068,2
1013,2069,1
1015,2071,1
1016,2072,2
1019,2075,1
1025,2017,1
1026,2018,1
1028,2020,2
1031,2023,2
1032,2024,2
1034,2026,2
1035,2027,1
1037,2029,2
1038,2030,1
1041,2033,2
1044,2036,2
1045,2037,1
1047,2039,1
1048,2040,2
1051,2043,1
1056,1984,3
1072,2000,7
1088,1952,3
1104,1968,7
1200,1872,4
1232,1840,4
1328,1744,2
1360,1712,2
1456,1616,1
1488,1584,1
1504,1536,50
1505,1537,24
1506,1538,58
1507,1539,62
1508,1540,58
1509,1541,28
1510,1542,18
1511,1543,46
1512,1544,64
1513,1545,48
1514,1546,20
1515,1547,64
1516,1548,32
1517,1549,62
1518,1550,32
1519,1551,58
1520,1552,58
1521,1553,42
1522,1554,18
1523,1555,54
1524,1556,64
1525,1557,30
1526,1558,62
1527,1559,64
1528,1560,30
1529,1561,64
1530,1562,26
1531,1563,60
1532,1564,52
1533,1565,16
1534,1566,6
1535,1567,64
