sample,axis_3072,axis_1536,antipode_of_3072,same_plane,Sp_diff_axis_vs_antipode,S_min_3072,S_min_1536
PR3_Commander,1134,1134,1934,True,0.0,170.31724548339844,170.31724548339844
PR3_NILC,1134,1134,1934,True,0.0,170.9844970703125,170.9844970703125
PR3_SEVEM,1134,1134,1934,True,0.0,170.71502685546875,170.71502685546875
PR3_SMICA,1134,1134,1934,True,0.0,171.2122344970703,171.2122344970703
Nofi_70GHz,1134,1134,1934,True,0.0,174.82034301757812,174.82034301757812
Nofi_94GHz,1134,1134,1934,True,0.0,176.44775390625,176.44775390625
Nofi_100GHz,1134,1134,1934,True,0.0,175.17147827148438,175.17147827148438
Nofi_143GHz,1134,1134,1934,True,0.0,172.6165313720703,172.6165313720703
PR4_Sevem,1134,1134,1934,True,0.0,170.57318115234375,170.57318115234375
PR4_Commander,1134,1134,1934,True,0.0,170.23023986816406,170.23023986816406
fresh_0,776,776,2280,True,0.6441650390625,493.99371337890625,493.99371337890625
fresh_1,16,16,3058,True,0.0,459.4993896484375,459.4993896484375
fresh_2,64,64,3004,True,0.0,436.87701416015625,436.87701416015625
fresh_3,208,208,2860,True,0.0,286.4652404785156,286.4652404785156
fresh_4,10,10,3062,True,0.0,288.62432861328125,288.62432861328125
fresh_5,1461,1461,1621,True,0.0,443.4334716796875,443.4334716796875
fresh_6,1223,1223,1831,True,0.0,524.9989624023438,524.9989624023438
fresh_7,95,95,2985,True,0.0,327.167236328125,327.167236328125
fresh_8,53,53,3015,True,0.0,262.4623718261719,262.4623718261719
fresh_9,75,75,2991,True,0.0,286.6747741699219,286.6747741699219
fresh_10,1222,1222,1830,True,0.0,276.8869323730469,276.8869323730469
fresh_11,30,30,3046,True,0.0,448.01239013671875,448.01239013671875
fresh_12,1081,1081,2009,True,0.0,320.659423828125,320.659423828125
fresh_13,160,160,2926,True,0.0,288.149169921875,288.149169921875
fresh_14,56,56,3018,True,0.0,408.72613525390625,408.72613525390625
fresh_15,239,239,2849,True,0.0,299.2105407714844,299.2105407714844
fresh_16,141,141,2941,True,0.0,442.6031494140625,442.6031494140625
fresh_17,60,60,3000,True,0.0,217.19696044921875,217.19696044921875
fresh_18,62,62,3002,True,0.0,429.61212158203125,429.61212158203125
fresh_19,203,203,2855,True,0.0,315.2445373535156,315.2445373535156
fresh_20,93,93,2983,True,0.0,439.84149169921875,439.84149169921875
fresh_21,239,239,2849,True,0.0,456.1900329589844,456.1900329589844
fresh_22,1394,1394,1682,True,0.0,332.77581787109375,332.77581787109375
fresh_23,352,352,2722,True,0.0,347.2413024902344,347.2413024902344
fresh_24,76,76,2992,True,0.0,362.3273010253906,362.3273010253906
fresh_25,1062,1062,1990,True,0.0,365.7353820800781,365.7353820800781
fresh_26,25,25,3041,True,0.0,331.5367126464844,331.5367126464844
fresh_27,213,213,2865,True,0.0,532.30419921875,532.30419921875
fresh_28,6,6,3066,True,0.0,347.05450439453125,347.05450439453125
fresh_29,125,125,2957,True,0.0,276.1512451171875,276.1512451171875
fresh_30,842,842,2218,True,0.0,339.4544677734375,339.4544677734375
fresh_31,48,48,3030,True,0.0,337.76300048828125,337.76300048828125
fresh_32,241,241,2851,True,0.0,362.0919494628906,362.0919494628906
fresh_33,129,129,2929,True,0.0,384.00054931640625,384.00054931640625
fresh_34,1328,1328,1744,True,0.28546142578125,477.675048828125,477.675048828125
