case,d,residual,residual_ok,box_checked,box_size,box_min,box_ok,cond,sigma_min
0,0.14029136687186303,0.14029136687186303,True,True,27,0.14029136687186303,True,2.0647671965174004,0.5841726079153193
1,0.22473715553556656,0.22473715553556656,True,True,27,0.22473715553556656,True,2.853883240252834,0.4611928204979934
2,0.41645721380702855,0.4164572138070285,True,True,27,0.4164572138070285,True,2.4891391781793257,0.9712426112015561
3,0.5753474972412423,0.5753474972412423,True,True,36,0.5753474972412423,True,4.506741973311793,0.6580814676202508
4,0.3187372577352711,0.31873725773527106,True,True,216,0.31873725773527106,True,6.77383642463673,0.1695284684776445
5,0.6449068463865217,0.6449068463865217,True,True,48,0.6449068463865217,True,3.3216434229234224,0.6577957087889096
6,1.1187278252283144,1.1187278252283144,True,True,64,1.1187278252283144,True,1.95724927349789,1.146961113746596
7,0.6266565765152193,0.6266565765152193,True,True,48,0.6266565765152193,True,2.032101091603606,0.8756207082147297
8,0.8552181385848097,0.8552181385848097,True,True,448,0.8552181385848097,True,5.8941947183968235,0.3328320558829398
9,0.8524117687707616,0.8524117687707614,True,True,36,0.8524117687707614,True,1.7472934011305428,1.2002664234681744
10,0.5501422686805848,0.5501422686805847,True,True,27,0.5501422686805847,True,1.9129586387555344,1.1336183008827658
11,0.2505651242992299,0.25056512429922995,True,True,100,0.25056512429922995,True,6.690522834449327,0.19286492750507428
12,0.6028197716803206,0.6028197716803206,True,True,36,0.6028197716803206,True,3.616547801831476,0.8231628871949817
13,0.5777875917578863,0.5777875917578862,True,True,36,0.5777875917578862,True,1.5883484115146729,0.9762837470493241
14,0.5681377219599723,0.5681377219599725,True,True,80,0.5681377219599725,True,3.9711683001765192,0.45049136717430377
15,0.4210643303205776,0.4210643303205776,True,True,48,0.4210643303205776,True,3.5415925181106287,0.5462789909401055
16,0.1913873882502816,0.19138738825028165,True,True,64,0.19138738825028165,True,7.7630657935969705,0.18520610858867362
17,1.022148790786996,1.0221487907869957,True,True,64,1.0221487907869957,True,2.331338013461053,1.074698996934728
18,0.46491890654708834,0.4649189065470884,True,True,27,0.4649189065470884,True,2.584952212083614,0.711260100790218
19,0.1727820198933335,0.1727820198933335,True,True,27,0.1727820198933335,True,1.38710027124679,0.8117655809573844
20,0.5491617416109859,0.5491617416109861,True,True,150,0.5491617416109861,True,4.897510776253832,0.32828594531146815
21,0.4344178011528252,0.4344178011528251,True,True,36,0.4344178011528251,True,2.0326716084994865,0.7076692528182374
22,0.7000853430605555,0.7000853430605555,True,True,512,0.7000853430605555,True,10.307841757068239,0.23497427227963602
23,0.8158407846435778,0.8158407846435781,True,True,125,0.8158407846435781,True,4.1962516211826575,0.5086936192659524
24,0.6501983015676442,0.6501983015676442,True,True,48,0.6501983015676442,True,1.827351354022043,0.9444689580372307
25,0.25895518031416526,0.2589551803141654,True,True,27,0.2589551803141654,True,2.119512486375864,0.696781332316987
26,0.9146591462380063,0.9146591462380063,True,True,48,0.9146591462380063,True,1.2500719526693012,1.347318075159569
27,0.3991189220884238,0.39911892208842387,True,True,27,0.39911892208842387,True,2.345278886659643,0.9731743732058593
28,0.9115601491371584,0.9115601491371584,True,True,100,0.9115601491371584,True,3.239239253189066,0.6886946346049847
29,0.5670419533173322,0.5670419533173322,True,True,36,0.5670419533173322,True,1.978524177738963,0.9686907818304267
30,0.8753520013405964,0.8753520013405964,True,True,64,0.8753520013405964,True,2.4759292927129977,0.6777071469230856
31,0.7493131769708061,0.7493131769708062,True,True,80,0.7493131769708062,True,2.549506884038486,0.6244329769753337
32,0.4747674419726943,0.4747674419726942,True,True,125,0.4747674419726942,True,7.683972323969692,0.31471508132507114
33,0.2758508441604725,0.27585084416047256,True,True,48,0.27585084416047256,True,9.299307534488758,0.2935148964534195
34,0.44858987554592455,0.44858987554592455,True,True,216,0.44858987554592455,True,4.835453540247994,0.25493604354865823
35,0.23040535255178154,0.2304053525517816,True,True,27,0.2304053525517816,True,3.1292977656566134,0.5497626855359958
36,0.8609909138535881,0.8609909138535881,True,True,80,0.8609909138535881,True,2.6130511775003757,0.7037173006342019
37,0.5126070087378236,0.5126070087378237,True,True,100,0.5126070087378237,True,6.316474989943663,0.42722091044075305
38,0.17931053842588676,0.1793105384258868,True,True,27,0.1793105384258868,True,4.870099977460017,0.5516451715295345
39,0.34268730311219975,0.3426873031121997,True,True,64,0.3426873031121997,True,5.540066890385973,0.3251644218150761
40,0.5111053765097733,0.5111053765097733,True,True,294,0.5111053765097733,True,5.090707733798695,0.21529954297453777
41,0.7658494714816813,0.7658494714816813,True,True,64,0.7658494714816813,True,2.431877948957751,0.7602244719963274
42,0.512508296871603,0.512508296871603,True,True,36,0.512508296871603,True,3.0338568431073942,0.891695931483413
43,0.24992609587560877,0.24992609587560866,True,True,1728,0.24992609587560866,True,30.641436406497537,0.049489053777961034
44,0.2574047595576088,0.2574047595576088,True,True,27,0.2574047595576088,True,1.5990563195494694,0.5677165277979854
45,0.47160901253447507,0.4716090125344751,True,True,125,0.4716090125344751,True,8.455662926673638,0.3548947427927514
46,0.2722456756686493,0.27224567566864927,True,True,64,0.27224567566864927,True,8.799788132255351,0.2625684727231167
47,0.2694749200197698,0.26947492001976975,True,True,36,0.26947492001976975,True,7.264531293244571,0.3655551021107177
48,0.5430869417889818,0.5430869417889818,True,True,64,0.5430869417889818,True,2.3840899040274635,0.6101901686547383
49,0.5586318440054736,0.5586318440054736,True,True,100,0.5586318440054736,True,3.4008976621018316,0.4478938236546867
50,0.31228965126049124,0.31228965126049124,True,True,343,0.31228965126049124,True,18.265645874817622,0.14564903208166902
51,0.9331633970789326,0.9331633970789327,True,True,36,0.9331633970789327,True,1.963590345265456,1.2124704814312006
52,0.224448378367351,0.2244483783673511,True,True,27,0.2244483783673511,True,2.018038145390551,0.7159381656325389
53,0.40024359995375447,0.40024359995375447,True,True,125,0.40024359995375447,True,4.766892532278425,0.28534755704525133
54,0.5826610854316789,0.5826610854316789,True,True,3840,0.5826610854316789,True,14.89925088984855,0.08452713195705419
55,0.5208807473927307,0.5208807473927308,True,True,36,0.5208807473927308,True,1.7291432683306387,0.7911301436038372
56,0.687924593563373,0.687924593563373,True,True,216,0.687924593563373,True,5.192049332993056,0.4008374976449048
57,0.3947919731844075,0.3947919731844073,True,True,27,0.3947919731844073,True,2.5596553208640493,0.5488029176984036
58,0.5119749401642797,0.5119749401642796,True,True,48,0.5119749401642796,True,2.170740619802165,0.532947301651851
59,0.36612635232750995,0.3661263523275099,True,True,36,0.3661263523275099,True,1.8193745758114392,0.5436541006863101
60,0.34468709449381996,0.3446870944938199,True,True,512,0.3446870944938199,True,12.841799089324162,0.11507603274771985
61,0.7439956900220649,0.7439956900220647,True,True,252,0.7439956900220647,True,4.273868556786909,0.3494510521169723
62,0.46685357811209793,0.46685357811209793,True,True,27,0.46685357811209793,True,1.946867250308743,0.8046437249288514
63,0.5664939074249888,0.5664939074249888,True,True,36,0.5664939074249888,True,1.7843276695938068,0.8779239623363436
64,0.42389089495663396,0.4238908949566339,True,True,80,0.4238908949566339,True,4.485881096011611,0.3484172577068206
65,0.9048142489610685,0.9048142489610685,True,True,64,0.9048142489610685,True,2.498507773916033,1.0349276468901856
66,0.4845686821968972,0.4845686821968972,True,True,80,0.4845686821968972,True,2.354417685016285,0.45857832381500974
67,0.15515794098615937,0.1551579409861594,True,True,512,0.1551579409861594,True,46.11590399661958,0.051501254702153054
68,0.6969364772080751,0.6969364772080751,True,True,150,0.6969364772080751,True,4.406976545550165,0.44728732147800865
69,0.6735226894830407,0.6735226894830407,True,True,48,0.6735226894830407,True,1.8362986090784743,0.8800555411400948
70,0.3736698392290146,0.37366983922901476,True,True,216,0.37366983922901476,True,8.683911782405692,0.1882849838060616
71,0.3709726538589223,0.3709726538589223,True,True,27,0.3709726538589223,True,1.9269226092725642,0.8003241887224877
72,0.5464477814147648,0.5464477814147647,True,True,100,0.5464477814147647,True,4.921894383840389,0.49272853035081315
73,0.3525222832561256,0.3525222832561255,True,True,36,0.3525222832561255,True,4.934797749823574,0.6043420067490687
74,0.9542841093375435,0.9542841093375436,True,True,80,0.9542841093375436,True,3.3772731341295525,0.7660464145533535
75,0.602666869390625,0.602666869390625,True,True,216,0.602666869390625,True,4.15282821756704,0.30486348569120325
76,0.8366637000599582,0.8366637000599582,True,True,125,0.8366637000599582,True,5.934750274573621,0.5211085852165417
77,0.6667535151497708,0.6667535151497708,True,True,64,0.6667535151497708,True,2.1007230045876875,0.6946411776558084
78,0.4078850930366887,0.40788509303668863,True,True,80,0.40788509303668863,True,6.436326083604043,0.378059371713741
79,0.7458297673792534,0.7458297673792535,True,True,64,0.7458297673792535,True,3.8893322040902136,0.686441094959737
80,0.3438246027164126,0.34382460271641263,True,True,64,0.34382460271641263,True,5.580835214543998,0.3295849848825011
81,0.4984092462926643,0.4984092462926643,True,True,100,0.4984092462926643,True,3.6899298371502525,0.4276121395051569
82,0.6015072361169049,0.6015072361169049,True,True,48,0.6015072361169049,True,1.8406842496095717,0.7371550405384588
83,0.5082077460539355,0.5082077460539358,True,True,27,0.5082077460539358,True,2.9095479722298903,0.9970201158966838
84,0.5189342835047271,0.5189342835047271,True,True,48,0.5189342835047271,True,2.617421734514998,0.5632327543889951
85,0.6202581753503749,0.620258175350375,True,True,150,0.620258175350375,True,8.80698608042031,0.3387041517617539
86,0.7786716268754816,0.7786716268754814,True,True,48,0.7786716268754814,True,3.1589596029132867,0.8549538760357214
87,0.39507257513725674,0.3950725751372565,True,True,36,0.3950725751372565,True,2.9100820073038447,0.4972666633508602
88,0.42681135232610523,0.42681135232610523,True,True,48,0.42681135232610523,True,1.4634543305186376,0.5867150978527224
89,0.3681398890140311,0.36813988901403105,True,True,48,0.36813988901403105,True,2.036282204096167,0.43707187729506547
90,0.4947477683970986,0.4947477683970986,True,True,48,0.4947477683970986,True,1.786596353960142,0.640374136307616
91,0.6736118903680542,0.6736118903680542,True,True,100,0.6736118903680542,True,2.633659573887817,0.4538150618208384
92,0.31183618670616453,0.3118361867061645,True,True,27,0.3118361867061645,True,2.736491508761498,0.6561638550300666
93,0.4098900686778648,0.40989006867786476,True,True,150,0.40989006867786476,True,10.556953753046558,0.2543653459950156
94,0.32058976252817006,0.3205897625281701,True,True,343,0.3205897625281701,True,24.44532516959163,0.12332847386139131
95,0.1582725906251173,0.15827259062511734,True,True,216,0.15827259062511734,True,15.463946348691902,0.08303529210050739
96,0.33868468683320957,0.33868468683320957,True,True,48,0.33868468683320957,True,4.906854781310193,0.39571158092979014
97,0.6931822372890816,0.6931822372890818,True,True,180,0.6931822372890818,True,3.275009038569249,0.4069668284644166
98,1.3147551440473646,1.3147551440473648,True,True,216,1.3147551440473648,True,4.448189236080261,0.6834113352940463
99,0.1935642090867747,0.19356420908677474,True,True,27,0.19356420908677474,True,3.755435386602779,0.5221884771615697
100,0.4600784306619311,0.46007843066193105,True,True,48,0.46007843066193105,True,1.4155238238924686,0.6321753026901155
101,0.4703076885525885,0.4703076885525884,True,True,392,0.4703076885525884,True,12.57012899926431,0.17641216497471612
102,0.3855684282645755,0.3855684282645755,True,True,48,0.3855684282645755,True,5.210364144627756,0.4252923049832821
103,0.5212172881121694,0.5212172881121694,True,True,64,0.5212172881121694,True,2.149023691561648,0.624885550788906
104,0.44370444887975596,0.4437044488797562,True,True,27,0.4437044488797562,True,2.376643835099732,0.9959191025116854
105,0.7220034778528213,0.7220034778528213,True,True,48,0.7220034778528213,True,1.5146280160538228,0.9576136815638487
106,0.402250465116855,0.402250465116855,True,True,64,0.402250465116855,True,7.486331954821795,0.3855989804586368
107,0.7304484141660077,0.7304484141660077,True,True,80,0.7304484141660077,True,2.2525680756733935,0.6561157065432213
108,0.5409232755025185,0.5409232755025184,True,True,100,0.5409232755025184,True,7.199041847163987,0.36634277476523275
109,0.47961046368786514,0.4796104636878654,True,True,100,0.4796104636878654,True,7.275883735591065,0.3938122069117544
110,0.6232981720207014,0.6232981720207013,True,True,48,0.6232981720207013,True,3.423412608896445,0.7974401746545557
111,0.5420591301786436,0.5420591301786436,True,True,48,0.5420591301786436,True,1.645424376297626,0.7645021190396865
112,0.3541687571395219,0.35416875713952206,True,True,27,0.35416875713952206,True,3.781958111570318,0.779248061682696
113,0.5708103359696922,0.5708103359696922,True,True,64,0.5708103359696922,True,2.64707998057037,0.6571434595662496
114,0.8063153808121747,0.8063153808121747,True,True,64,0.8063153808121747,True,2.5729263472835795,0.7543523027522263
115,0.36526894613299854,0.3652689461329986,True,True,64,0.3652689461329986,True,2.9477298243801915,0.36894662667425865
116,1.0420656080884498,1.0420656080884496,True,True,100,1.0420656080884496,True,3.2846438283626402,0.7797009286533456
117,0.8581298958094455,0.8581298958094454,True,True,64,0.8581298958094454,True,2.3376590415179836,0.8602634643072967
118,0.48152997577296985,0.48152997577296985,True,True,2366,0.48152997577296985,True,23.146787654481198,0.08507698587863143
119,1.137271785034957,1.1372717850349567,True,True,80,1.1372717850349567,True,2.7171778692510706,0.952291771098765
120,0.7653424075385912,0.7653424075385912,True,True,100,0.7653424075385912,True,3.338620935064532,0.5475692486669307
121,0.4264790765195467,0.42647907651954675,True,True,27,0.42647907651954675,True,3.0096374405221225,0.5962726186863723
122,0.5981756173321011,0.5981756173321011,True,True,64,0.5981756173321011,True,2.9464096360776586,0.4833766460599858
123,0.5006014952641414,0.5006014952641414,True,True,48,0.5006014952641414,True,3.0367018869298352,0.6064444490558059
124,0.4250637202413295,0.42506372024132955,True,True,1210,0.42506372024132955,True,18.23945973507588,0.09655773367896939
125,0.5363002317089928,0.5363002317089928,True,True,448,0.5363002317089928,True,14.70427846495649,0.20274974685220995
126,0.5041836087393873,0.5041836087393874,True,True,125,0.5041836087393874,True,3.414141051437084,0.3563535607128147
127,0.2779206352565841,0.27792063525658417,True,True,48,0.27792063525658417,True,4.596179867924212,0.32594707335789486
128,0.4975837041776504,0.49758370417765047,True,True,64,0.49758370417765047,True,5.552679919528921,0.5246192103313259
129,0.5927503963879266,0.5927503963879265,True,True,80,0.5927503963879265,True,5.426884546160676,0.4901379438551866
130,0.8981629237744363,0.8981629237744363,True,True,80,0.8981629237744363,True,3.0818818837996496,0.8715273016592191
131,0.6612175752800106,0.6612175752800104,True,True,64,0.6612175752800104,True,4.629947414406416,0.5805736198261864
132,0.15835503103196785,0.15835503103196785,True,True,27,0.15835503103196785,True,2.6891645436587575,0.42562392610833494
133,0.27488992049696165,0.2748899204969617,True,True,27,0.2748899204969617,True,4.3825068132737774,0.45287881177669354
134,0.31449774035074485,0.31449774035074485,True,True,512,0.31449774035074485,True,18.955539159149584,0.1113447822543544
135,0.3900521026030183,0.39005210260301826,True,True,100,0.39005210260301826,True,3.6782274652952016,0.363623903179375
136,0.6052273564317839,0.605227356431784,True,True,64,0.605227356431784,True,3.3743657551857313,0.6315755685833805
137,0.3380514052352227,0.33805140523522265,True,True,27,0.33805140523522265,True,1.7104298595850902,1.4442085239163682
138,0.5996024972961208,0.5996024972961207,True,True,80,0.5996024972961207,True,4.144396707599552,0.5652475747965037
139,0.567909884878009,0.5679098848780091,True,True,27,0.5679098848780091,True,2.615887134710506,0.8737476402674984
140,0.15356530685554906,0.1535653068555492,True,True,27,0.1535653068555492,True,2.3666273409953966,0.6751486358875335
141,0.2917212422984681,0.2917212422984681,True,True,125,0.2917212422984681,True,7.221075637274093,0.1887433117858791
142,0.6357890110945175,0.6357890110945176,True,True,48,0.6357890110945176,True,1.9648897827386251,0.817057442010986
143,0.6292145575800414,0.6292145575800414,True,True,36,0.6292145575800414,True,2.755384087264468,0.9481536239183045
