shape,coset,n_enum,n_box,equal,no_duplicates,max_residual,set_hash
0,id,0,0,True,True,0.0,4f53cda18c2baa0c
0,glide_A,2,2,True,True,0.0,5486682536985519
1,id,0,0,True,True,0.0,4f53cda18c2baa0c
1,halfturn_B,2,2,True,True,0.0,9aab5cef9f2693ee
2,id,154,154,True,True,1.1102230246251565e-16,a8a653193eacb5a9
2,glide_A,188,188,True,True,4.440892098500626e-16,117635f11ed31466
3,id,54,54,True,True,1.1102230246251565e-16,af6b6256a0c566ee
3,glide_A,50,50,True,True,2.220446049250313e-16,f18e35d887d4f827
4,id,16,16,True,True,1.1102230246251565e-16,7bd11193d2b01a9c
4,glide_A,20,20,True,True,2.220446049250313e-16,48def3fb6eb98426
5,id,4,4,True,True,0.0,5db6173b63b97226
5,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
6,id,2,2,True,True,0.0,5935d51a26124b66
6,glide_A,4,4,True,True,2.220446049250313e-16,995342c06ba4870d
7,id,4,4,True,True,1.1102230246251565e-16,5db6173b63b97226
7,glide_A,6,6,True,True,1.1102230246251565e-16,81ffa9da5c61aaf9
8,id,10,10,True,True,0.0,b5ca053a5b9b9325
8,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
9,id,2,2,True,True,0.0,5935d51a26124b66
9,glide_A,2,2,True,True,0.0,dedc883bc6513b6b
10,id,20,20,True,True,1.1102230246251565e-16,422af1d5cf814811
10,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
11,id,16,16,True,True,1.1102230246251565e-16,63bba78f1685f875
11,glide_A,20,20,True,True,1.1102230246251565e-16,fa0b420fcc1a3fa3
12,id,16,16,True,True,1.1102230246251565e-16,738ccdf4c4cf1e39
12,glide_A,18,18,True,True,4.440892098500626e-16,8a9f9e8318011fd3
13,id,22,22,True,True,0.0,f961c8c5f01da3d9
13,glide_A,24,24,True,True,2.220446049250313e-16,337f14f9b328f178
14,id,18,18,True,True,1.1102230246251565e-16,f39158c64694ae15
14,glide_A,20,20,True,True,5.551115123125783e-16,14939c31d9215cbd
15,id,4,4,True,True,0.0,038019e1db537b1b
15,glide_A,4,4,True,True,0.0,42564929b0b01a87
16,id,28,28,True,True,0.0,038b9cf94ee8821e
16,glide_A,24,24,True,True,1.1102230246251565e-16,7a6457dc190fcc2c
17,id,22,22,True,True,1.1102230246251565e-16,5bbdcb4ea5edd8cf
17,glide_A,22,22,True,True,2.220446049250313e-16,deb81a504e163f71
18,id,20,20,True,True,1.1102230246251565e-16,06cfca73fda0edd9
18,glide_A,24,24,True,True,4.440892098500626e-16,b93529ee8d6fef69
19,id,4,4,True,True,0.0,3563c14f12c59414
19,glide_A,8,8,True,True,0.0,4df099138947a560
20,id,16,16,True,True,1.1102230246251565e-16,82961f2c447339f7
20,glide_A,22,22,True,True,1.1102230246251565e-16,f76e90ab498f22f9
21,id,20,20,True,True,0.0,083a16ee635d780a
21,glide_A,18,18,True,True,1.1102230246251565e-16,fb23866898649cdd
22,id,2,2,True,True,0.0,2bac3b392c1cd38f
22,glide_A,6,6,True,True,1.1102230246251565e-16,0334886c821885e5
23,id,4,4,True,True,1.1102230246251565e-16,8b5ebf17f21cecc7
23,glide_A,8,8,True,True,3.3306690738754696e-16,54e139b8a4857007
24,id,32,32,True,True,1.1102230246251565e-16,e4b7b46928949a93
24,glide_A,34,34,True,True,1.1102230246251565e-16,d27371c40db8470c
25,id,8,8,True,True,0.0,97713abf05e71d0e
25,glide_A,6,6,True,True,0.0,489b8a61587da4eb
26,id,4,4,True,True,1.1102230246251565e-16,5db6173b63b97226
26,glide_A,2,2,True,True,1.1102230246251565e-16,5486682536985519
27,id,2,2,True,True,0.0,2bac3b392c1cd38f
27,glide_A,2,2,True,True,1.1102230246251565e-16,8180c4fd79c51fcf
28,id,4,4,True,True,0.0,d7c5d3db2f464e3d
28,glide_A,4,4,True,True,0.0,995342c06ba4870d
29,id,26,26,True,True,0.0,4d31e98d9c2f7da0
29,glide_A,20,20,True,True,1.1102230246251565e-16,15fe91b879ab7b67
30,id,10,10,True,True,1.1102230246251565e-16,b5ca053a5b9b9325
30,glide_A,4,4,True,True,5.551115123125783e-16,3d870a2b9eaa03a4
31,id,14,14,True,True,1.1102230246251565e-16,3040c9b4a9dcf660
31,glide_A,24,24,True,True,2.220446049250313e-16,c65be0aabfdf0170
32,id,20,20,True,True,0.0,422af1d5cf814811
32,glide_A,24,24,True,True,2.220446049250313e-16,2049c454f3348cb8
33,id,18,18,True,True,1.1102230246251565e-16,4e8d0096e461ef06
33,glide_A,16,16,True,True,3.3306690738754696e-16,61c0440560eea901
34,id,16,16,True,True,2.220446049250313e-16,1d47f2b15ad40723
34,glide_A,18,18,True,True,2.220446049250313e-16,40cb9834fc5dedbe
35,id,24,24,True,True,1.1102230246251565e-16,aec2086a06914855
35,glide_A,24,24,True,True,2.220446049250313e-16,bb94e0388ab83510
36,id,4,4,True,True,0.0,d7c5d3db2f464e3d
36,glide_A,6,6,True,True,0.0,489b8a61587da4eb
37,id,6,6,True,True,1.1102230246251565e-16,e2fa4e462d09bfcd
37,glide_A,8,8,True,True,0.0,4b9a7e46d7c44c6b
38,id,6,6,True,True,1.1102230246251565e-16,e7b5f413ad069d7d
38,glide_A,6,6,True,True,2.220446049250313e-16,489b8a61587da4eb
39,id,2,2,True,True,0.0,2bac3b392c1cd38f
39,glide_A,6,6,True,True,0.0,22c2382167b99a6a
40,id,8,8,True,True,1.1102230246251565e-16,105930e5b44d9bc5
40,glide_A,6,6,True,True,1.1102230246251565e-16,29e9022dd9855ead
41,id,8,8,True,True,1.1102230246251565e-16,105930e5b44d9bc5
41,glide_A,6,6,True,True,1.1102230246251565e-16,91cf501ca6510b53
42,id,4,4,True,True,0.0,5db6173b63b97226
42,glide_A,6,6,True,True,0.0,8843b78515561f37
43,id,2,2,True,True,0.0,11aea7a42c4c9aa0
43,halfturn_B,6,6,True,True,0.0,524a49b2563ce01c
44,id,4,4,True,True,0.0,d7c5d3db2f464e3d
44,halfturn_B,4,4,True,True,1.1102230246251565e-16,ee965f42dbcca3a6
45,id,8,8,True,True,0.0,536f4ae322ac22ed
45,halfturn_B,12,12,True,True,2.220446049250313e-16,78cad532461f18b6
46,id,16,16,True,True,0.0,4e8c3f5505caf0ec
46,halfturn_B,18,18,True,True,0.0,9dbd43c43e2ce0dd
47,id,4,4,True,True,0.0,dd680342ef550fb3
47,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
48,id,2,2,True,True,0.0,11aea7a42c4c9aa0
48,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
49,id,4,4,True,True,0.0,d7c5d3db2f464e3d
49,halfturn_B,6,6,True,True,0.0,24c8a6fced09daef
50,id,4,4,True,True,0.0,5db6173b63b97226
50,halfturn_B,8,8,True,True,0.0,4feba9f5d3560fa7
51,id,2,2,True,True,0.0,5935d51a26124b66
51,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
52,id,2,2,True,True,0.0,11aea7a42c4c9aa0
52,halfturn_B,4,4,True,True,1.1102230246251565e-16,93193acdd8240748
53,id,10,10,True,True,0.0,b938125e03e1709a
53,halfturn_B,6,6,True,True,0.0,084e4ba69a4d5251
54,id,0,0,True,True,0.0,4f53cda18c2baa0c
54,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
55,id,4,4,True,True,0.0,038019e1db537b1b
55,halfturn_B,8,8,True,True,2.220446049250313e-16,23bbbb842209b6a9
56,id,8,8,True,True,0.0,105930e5b44d9bc5
56,halfturn_B,6,6,True,True,0.0,44d1bfd4aee0e8ab
57,id,4,4,True,True,0.0,d7c5d3db2f464e3d
57,halfturn_B,4,4,True,True,1.1102230246251565e-16,50c336a28d7695b9
58,id,4,4,True,True,0.0,3563c14f12c59414
58,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
59,id,4,4,True,True,0.0,d7c5d3db2f464e3d
59,halfturn_B,4,4,True,True,1.1102230246251565e-16,93193acdd8240748
60,id,10,10,True,True,0.0,fea39ed3159ef226
60,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
61,id,52,52,True,True,1.1102230246251565e-16,b384a8771e1003fe
61,halfturn_B,54,54,True,True,1.1102230246251565e-16,25e1bfef14a466a3
62,id,10,10,True,True,0.0,23347ed39d59cb7f
62,halfturn_B,10,10,True,True,0.0,e8c8acccfd8a1ad9
63,id,4,4,True,True,0.0,5db6173b63b97226
63,halfturn_B,4,4,True,True,0.0,f90695eb13768d4b
64,id,8,8,True,True,0.0,97713abf05e71d0e
64,halfturn_B,2,2,True,True,0.0,2219bfdc9f8a769f
65,id,6,6,True,True,0.0,e6b56cc7c7203596
65,halfturn_B,8,8,True,True,5.551115123125783e-17,861e5c93ad95e09a
66,id,0,0,True,True,0.0,4f53cda18c2baa0c
66,halfturn_B,2,2,True,True,0.0,a3a6ffdc3d3297fe
67,id,2,2,True,True,0.0,11aea7a42c4c9aa0
67,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
68,id,20,20,True,True,1.1102230246251565e-16,83e898fa75436d67
68,halfturn_B,24,24,True,True,1.1102230246251565e-16,b03fdfc02f1ebf17
69,id,24,24,True,True,1.1102230246251565e-16,5988a18771a44881
69,halfturn_B,28,28,True,True,1.1102230246251565e-16,124677ddae023689
70,id,8,8,True,True,0.0,97713abf05e71d0e
70,halfturn_B,0,0,True,True,0.0,4f53cda18c2baa0c
