family,L,shape,kind,observer_id,analysis_role,is_primary_observer,observer_design_version,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_orientation,nearest_element_type,nearest_lattice_coefficients,nearest_total_translation,nearest_alpha_deg,nearest_theta_deg,nearest_sense,nearest_element_search_covered,n_candidates_d_lt_1,n_covered_candidates,exclusion_witness_exists,exclusion_witness_coset,exclusion_witness_sense,exclusion_witness_element_type,exclusion_witness_lattice_coefficients,exclusion_witness_translation,exclusion_witness_d,exclusion_witness_alpha_deg,exclusion_witness_theta_deg,exclusion_witness_search,exclusion_witness_source_boundary,reported_0p985_margin,operational_distance_margin,operational_alpha_margin_deg,geometry_margin,threshold_boundary,geometric_status,observational_status
E1,0.7,"{""Lx"": 0.7, ""Ly"": 0.7, ""Lz"": 0.7}",observer,0,primary_observer,True,none(homogeneous),[],"[0.0, 0.0, 0.0]",0.7,0.7,inf,id,preserving,translation,"[1, 0, 0]","[0.7, 0.0, 0.0]",45.5729959991943,180.0,anti_phased,True,18,6,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.7, 0.0, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E1,0.85,"{""Lx"": 0.85, ""Ly"": 0.85, ""Lz"": 0.85}",observer,0,primary_observer,True,none(homogeneous),[],"[0.0, 0.0, 0.0]",0.85,0.85,inf,id,preserving,translation,"[1, 0, 0]","[0.85, 0.0, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.85, 0.0, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E1,1.0,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}",observer,0,primary_observer,True,none(homogeneous),[],"[0.0, 0.0, 0.0]",1.0,1.0,inf,id,preserving,translation,"[1, 0, 0]","[1.0, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E1,1.2,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}",observer,0,primary_observer,True,none(homogeneous),[],"[0.0, 0.0, 0.0]",1.2,1.2,inf,id,preserving,translation,"[1, 0, 0]","[1.2, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.21499999999999997,0.21519224698779194,,0.19999999999999996,False,no_nondegenerate_circles,no_nondegenerate_circles
E1,1.5,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}",observer,0,primary_observer,True,none(homogeneous),[],"[0.0, 0.0, 0.0]",1.5,1.5,inf,id,preserving,translation,"[1, 0, 0]","[1.5, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.515,0.515192246987792,,0.5,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,0.7,"{""Lx"": 0.7, ""Ly"": 0.7, ""Lz"": 0.7}",observer,1,primary_observer,True,pilot_v2_reduced,"[0.2452274712376159, 0.3429926323318836]","[0.171659, 0.240095, 0.518]",0.7,0.7,inf,id,preserving,translation,"[1, 0, 0]","[0.7, 0.0, 0.0]",45.5729959991943,180.0,anti_phased,True,16,12,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.7, 0.0, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E2,0.7,"{""Lx"": 0.7, ""Ly"": 0.7, ""Lz"": 0.7}",observer,2,primary_observer,True,pilot_v2_reduced,"[0.07150075549277313, 0.24162711619922894]","[0.050051, 0.169139, 0.518]",0.7,0.7,inf,id,preserving,translation,"[1, 0, 0]","[0.7, 0.0, 0.0]",45.5729959991943,180.0,anti_phased,True,16,10,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.7, 0.0, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E2,0.7,"{""Lx"": 0.7, ""Ly"": 0.7, ""Lz"": 0.7}",observer,3,primary_observer,True,pilot_v2_reduced,"[0.8951290935216393, 0.2514647338918028]","[0.62659, 0.176025, 0.518]",0.7,0.7,inf,id,preserving,translation,"[1, 0, 0]","[0.7, 0.0, 0.0]",45.5729959991943,180.0,anti_phased,True,16,12,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.7, 0.0, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E2,0.7,"{""Lx"": 0.7, ""Ly"": 0.7, ""Lz"": 0.7}",anchor:half_turn_axis,-1,symmetry_anchor,False,anchor,"[0.0, 0.0]","[0.0, 0.0, 0.518]",0.7,0.7,inf,id,preserving,translation,"[1, 0, 0]","[0.7, 0.0, 0.0]",45.5729959991943,180.0,anti_phased,True,18,6,True,halfturn_B,anti_phased,screw,"[0, 0, -1]","[0.0, 0.0, -0.7]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E2,0.85,"{""Lx"": 0.85, ""Ly"": 0.85, ""Lz"": 0.85}",observer,1,primary_observer,True,pilot_v2_reduced,"[0.2452274712376159, 0.3429926323318836]","[0.208443, 0.291544, 0.629]",0.85,0.85,inf,id,preserving,translation,"[1, 0, 0]","[0.85, 0.0, 0.0]",31.78833061705162,180.0,anti_phased,True,8,6,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.85, 0.0, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
