tag,topology,nreal,cov_array_sha,ESp_A_R,ESm_A_R,Sp_A_R,Sp_A_R_se,Sm_A_R,Sm_A_R_se,Splus_at_argmin,Sminus_at_argmin,rho_at_argmin,min_Sminus_diag,ESp_B_R,ESm_B_R,Sp_B_R,Sp_B_R_se,Sm_B_R,Sm_B_R_se,ESp_AB_H,ESm_AB_H,Sp_AB_H,Sp_AB_H_se,Sm_AB_H,Sm_AB_H_se
E7_L1y1.0_g0,E7,400,783aec51dee568dc,446.084416342941,272.3181772161758,437.2545176822379,9.797111824527626,272.5839219742735,7.369941567762858,125.28318514737984,551.1895717970394,-0.598515675832539,60.91804463042905,,,,,,,,,,,,
E7_L1y1.0_gq,E7,400,553024756024caa4,438.12527899291206,262.5881369582786,429.67777832869035,10.637402902197392,263.1457037921347,7.04587393343922,123.50562355201838,524.4898020160149,-0.6030985030093121,56.11047150445239,,,,,,,,,,,,
E7_L1y1.0_gh,E7,400,dbaf6d4f59e6c761,433.6626348514303,256.647021239026,450.27056497100494,10.040042157112456,252.25719371760658,6.9741679632947395,123.12588831530844,539.431067689618,-0.6143867271770094,60.67233952883794,,,,,,,,,,,,
E7_L1y0.85_g0,E7,400,644b6e3e7f0493ea,434.51335021807563,226.33201840849551,412.22789084643796,10.486664367034994,216.80145020254673,5.683499759438886,113.43100027866748,469.7689478281689,-0.606498412676789,54.98100760021063,,,,,,,,,,,,
E7_L1y0.85_gq,E7,400,18fcf1996eba021b,440.36518495235765,233.62509593514972,441.3521551643197,11.202740066796217,232.43534632922265,6.062630496871168,124.51338582816302,497.9894531945491,-0.5955669106881716,57.40285125385037,,,,,,,,,,,,
E7_L1y0.85_gh,E7,400,bfc491bd8f32347d,439.4297265649874,232.45936406370464,430.2746450003174,10.10663959366602,235.82728114586956,5.702649532036373,118.57689446034294,498.3157839734248,-0.5956338899468341,56.54719334019825,,,,,,,,,,,,
E7_L1y0.7_g0,E7,400,960da24bc228f01b,409.46213948063445,212.5445639612866,416.9297045721298,11.720158656752101,200.5897042297862,4.7664828422434296,111.64860043665675,468.60084582669924,-0.6069824635775103,51.09484642266531,,,,,,,,,,,,
E7_L1y0.7_gq,E7,400,0e99994213437865,404.2875003605233,206.6019545847221,411.0088314225966,10.888309088772118,210.48450852958806,5.441701639298617,103.21565685284075,469.59401700304744,-0.6229250849538195,51.19635266851682,,,,,,,,,,,,
E7_L1y0.7_gh,E7,400,1dadf9ed5f3ffa90,404.9002472679786,207.2872170110436,406.16263850238977,10.145786386925435,208.01467855844749,5.051616009738028,111.71990335220346,458.4063626176324,-0.6008471629406513,53.45845898033818,,,,,,,,,,,,
E7_L1y0.6_g0,E7,400,b013dddba716f5e1,400.7754204182388,185.65633476241996,401.5358459399386,10.094197474062856,183.00728253359674,5.2091783280334845,104.0272490205115,444.13333721337295,-0.6127146282294093,45.68512918198667,,,,,,,,,,,,
E7_L1y0.6_gq,E7,400,83f69df74060278a,405.1247137070109,190.44627991932796,411.9065158617063,11.035626688567806,189.72364446434884,5.29814020634876,104.7098434165915,450.88359112590933,-0.6198697651759821,47.45318818209947,,,,,,,,,,,,
E7_L1y0.6_gh,E7,400,250f1c918c1b2b35,403.9888721692933,189.1856108218895,411.65559104460493,10.299945627563291,189.7629159722486,5.263340443296496,104.77823000093193,449.5970824257744,-0.6162587659456362,51.13044459500949,,,,,,,,,,,,
E7_LAx0.7,E7,400,037e8dcd6d5bcbe5,399.49067837820047,268.3559774871808,409.5271862786285,9.950866366131509,263.65770593409513,7.427254614907467,124.69205553315709,515.589698483084,-0.5890329714844373,56.77585980400062,,,,,,,,,,,,
E7_LAx1.3,E7,400,01ea9d865736bfff,453.96408726774484,268.5540120919228,459.203176724447,11.830040555092717,273.8829986531724,7.776669480951621,130.5432037564374,547.4247978185324,-0.6104827506545724,61.861295441799655,,,,,,,,,,,,
E7_tilt,E7,400,0050b755ccbd5bcd,415.4153106542775,268.91857112409895,421.2176998380661,10.84799782083527,273.7859795017941,7.281548257350968,124.75960049843926,516.3931439783762,-0.6032306689397056,58.48609724277378,,,,,,,,,,,,
E8_def,E8,400,f907e690e7a371d1,570.9299601500838,260.4860485895173,578.5733024936103,14.931333383599,277.46003147212906,7.4197904043855445,150.64830489974685,635.5290412894365,-0.6125384461653716,72.53870499239585,522.6716847440065,308.7443239955947,535.7435903420998,13.242467921146366,320.289743623374,9.15560223317507,538.2086425306456,293.2073662088746,554.428245584275,14.616827629061635,301.6050883812852,7.850190353166653
E9_def,E9,400,7f9f0fa7b3604157,548.5145479699203,266.3126213980941,531.8793083969781,12.556456858511655,265.9533702549321,7.257923479899441,142.96278779280385,601.8554239456375,-0.6124248000994399,68.3927976540445,,,,,,,,,,,,
E10_def,E10,400,e40de07145af7157,555.6793060630166,275.6271286629245,544.6276029912499,13.767959592669342,271.1080148507317,7.274664969278762,145.29739771929053,608.8545730866147,-0.602760148241585,68.7141484949725,521.5698512350916,309.7365834907934,515.2844528717355,12.78926548572208,300.4511649703885,8.150214291458573,531.1012532040704,300.20518152210263,530.0420022068814,13.415923953314854,285.6936156355087,7.36917216739978
E8_LCy0.7,E8,400,38ea6d22a29c8907,586.0719494515872,207.3594673577671,604.0868505164707,15.204450344250912,201.3353963200783,5.025215910174294,135.80868424165882,603.2807662346052,-0.6273119696516296,66.21766473378858,507.1215170928026,286.3098997162707,527.7499006337105,13.776115234848248,277.67234620268255,8.108071398310154,494.97908485970436,298.4523319492577,513.4947425908983,13.524375467526749,291.92750424526037,7.9718534784965325
E10_LCy0.7,E10,400,5897082f04883ec2,577.187002217454,217.08040288537651,572.0955077939718,13.052531112393604,210.1421389350287,5.160694953024465,141.94638126030546,589.3832917681884,-0.6016277880319161,63.09793626372772,507.42260027303155,286.8448048294649,501.8459909506577,12.364733874578603,280.39165577804243,7.091471473212666,491.4938824539536,302.77352264860104,479.801416592133,12.278712064969133,302.43623013654525,7.114647405878744
