tag,topology,operator,op_type,axis_x,axis_y,axis_z,kind,T1_ESp,T1_ESm,T1_dE,A_closed,A_trace,closed_minus_T1,rel_error,trace_minus_closed_rel,l_decomp_resid_rel,l_decomp_vs_trace_rel,A_l2,A_l3,A_l4,A_l2_trace,A_l3_trace,A_l4_trace,frac_signed_l2,frac_signed_l3,frac_signed_l4,dominant_l,cov_raw_sha,cov_projected_sha,cov_real_projected_sha
E10_LCy0.7,E10,A_R,refl,0.0,1.0,0.0,refl_y,577.187002217454,217.0804028853765,360.10659933207756,360.1065993328647,360.10659933207745,7.871108209656086e-10,9.909897043599626e-13,9.911328385701684e-13,0.0,6.674706057422685e-13,197.71051661218718,102.01210000555885,60.38398271511864,197.71051661165703,102.01210000570441,60.383982714716204,0.5490333056335727,0.2832830617226871,0.16768363264374025,2,b006cccfcad87937,00b4a39a4f203b2b,789be32f4c38794e
E10_LCy0.7,E10,B_R,refl,1.0,0.0,0.0,refl_x,507.4226002730316,286.8448048294649,220.57779544356669,220.5777954446483,220.5777954435666,1.081616574083455e-09,1.3617788758986999e-12,1.3618862265563543e-12,0.0,1.1407259800120009e-12,126.22386279146289,57.853488631622426,36.500444021563,126.22386279055685,57.85348863178773,36.50044402102655,0.5722419273300673,0.2622815615461174,0.16547651112381528,2,b006cccfcad87937,00b4a39a4f203b2b,789be32f4c38794e
E10_LCy0.7,E10,AB_H,halfturn,0.0,0.0,1.0,halfturn_z,491.4938824539536,302.77352264860104,188.72035980535253,188.72035980670682,188.72035980535256,1.354294454358751e-09,1.7050862790773673e-12,1.705050495524816e-12,0.0,1.1226016106445996e-12,127.52908072655879,15.060274049777576,46.131005030370446,127.52908072566714,15.060274049468381,46.13100502994814,0.6757568757137703,0.07980206303762227,0.24444106124860737,2,b006cccfcad87937,00b4a39a4f203b2b,789be32f4c38794e
E10_def,E10,A_R,refl,0.0,1.0,0.0,refl_y,555.6793060630166,275.6271286629245,280.0521774000921,280.0521774012875,280.05217740009215,1.1954170986427926e-09,1.4379981300600527e-12,1.4379297516420755e-12,0.0,8.549695491776447e-13,136.52574939871724,102.86138329139573,40.66504471117456,136.5257493980065,102.86138329149402,40.66504471076448,0.48750111734746177,0.3672936387993348,0.1452052438532035,2,6ec99cc89e2afe3f,2e494010cb1345e2,a7bbd084c9dbc830
E10_def,E10,B_R,refl,1.0,0.0,0.0,refl_x,521.5698512350916,309.7365834907934,211.8332677442982,211.8332677454399,211.83326774429827,1.141700067819329e-09,1.3733805250717121e-12,1.373312146653735e-12,0.0,1.008581665163443e-12,130.60504346060526,48.769157387757815,32.459066897076845,130.60504345976682,48.76915738791102,32.45906689658283,0.6165464228100063,0.23022426036671315,0.15322931682328061,2,6ec99cc89e2afe3f,2e494010cb1345e2,a7bbd084c9dbc830
E10_def,E10,AB_H,halfturn,0.0,0.0,1.0,halfturn_z,531.1012532040704,300.20518152210263,230.89607168196778,230.89607168312807,230.89607168196778,1.1602878657868132e-09,1.3957402677497672e-12,1.3957402677497672e-12,0.0,8.884065955682369e-13,141.36366775424628,35.76229780932309,53.77010611955871,141.36366775350774,35.7622978090094,53.77010611919907,0.6122393799243486,0.15488482566477674,0.23287579441087466,2,6ec99cc89e2afe3f,2e494010cb1345e2,a7bbd084c9dbc830
E7_L1y0.6_g0,E7,A_R,refl,0.0,1.0,0.0,refl_y,400.7754204182388,185.65633476242,215.11908565581882,215.1190856565329,215.11908565581882,7.140670277294703e-10,1.2176472733975526e-12,1.2176472733975526e-12,4.846550204575516e-17,7.054396150269893e-13,105.56682075631885,67.28211780611935,42.270147094094675,105.56682075590516,67.282117806239,42.27014709376374,0.49073665609043515,0.31276684539996824,0.1964964985095965,2,2d4d2b3cba2419e9,9135e3df2df17d97,3ad1761a70945b2a
E7_L1y0.6_gh,E7,A_R,refl,0.0,1.0,0.0,refl_y,403.9888721692933,189.1856108218895,214.8032613474038,214.80326134816218,214.80326134740386,7.583764727314701e-10,1.2785048825890627e-12,1.2784090534182357e-12,0.0,7.073390671671491e-13,105.18248895652894,67.58859773290635,42.03217465872688,105.18248895610937,67.58859773300983,42.03217465833356,0.48966895705575314,0.3146534987816405,0.19567754416260635,2,87d7b028c361b899,5af870fb2ce082aa,544cc2bf79fc5b50
E7_L1y0.6_gq,E7,A_R,refl,0.0,1.0,0.0,refl_y,405.1247137070109,190.446279919328,214.67843378768293,214.67843378845743,214.67843378768296,7.744915819785092e-10,1.300418573548639e-12,1.3003708517661234e-12,0.0,7.080480871831617e-13,105.02931611505005,67.71366470287663,41.935452970530754,105.02931611462836,67.71366470297423,41.93545297011485,0.48924018245142026,0.31541903631363916,0.19534078123494064,2,5b2d27ae63f20815,404791717d20b6e1,0c3e81b543232223
E7_L1y0.7_g0,E7,A_R,refl,0.0,1.0,0.0,refl_y,409.4621394806345,212.5445639612866,196.9175755193479,196.91757551982633,196.91757551934782,4.784226348419907e-10,7.691599337991099e-13,7.692970145215835e-13,0.0,6.540007035277854e-13,98.57776594336582,60.62439206345445,37.71541751300607,98.57776594296566,60.624392063612426,37.715417512599274,0.5006042029673511,0.30786684176573453,0.19152895526691446,2,6f5f9efc156e0d3b,dd14c03ce0911b85,92213df32775c2df
